visits,month,day,quarter,dayofweek,weekend,lag1,lag2,lag3,lag4,lag5,lag6,lag7,bias
1804425,1,8,1,4,False,1972186.0,1952324.0,1787494.0,1750373.0,1455522.0,1395136.0,1401667.0,1
1483316,1,9,1,5,True,1804425.0,1972186.0,1952324.0,1787494.0,1750373.0,1455522.0,1395136.0,1
1576497,1,10,1,6,True,1483316.0,1804425.0,1972186.0,1952324.0,1787494.0,1750373.0,1455522.0,1
1959763,1,11,1,0,False,1576497.0,1483316.0,1804425.0,1972186.0,1952324.0,1787494.0,1750373.0,1
1903329,1,12,1,1,False,1959763.0,1576497.0,1483316.0,1804425.0,1972186.0,1952324.0,1787494.0,1
1874205,1,13,1,2,False,1903329.0,1959763.0,1576497.0,1483316.0,1804425.0,1972186.0,1952324.0,1
1877020,1,14,1,3,False,1874205.0,1903329.0,1959763.0,1576497.0,1483316.0,1804425.0,1972186.0,1
1822346,1,15,1,4,False,1877020.0,1874205.0,1903329.0,1959763.0,1576497.0,1483316.0,1804425.0,1
1574442,1,16,1,5,True,1822346.0,1877020.0,1874205.0,1903329.0,1959763.0,1576497.0,1483316.0,1
1579477,1,17,1,6,True,1574442.0,1822346.0,1877020.0,1874205.0,1903329.0,1959763.0,1576497.0,1
1890514,1,18,1,0,False,1579477.0,1574442.0,1822346.0,1877020.0,1874205.0,1903329.0,1959763.0,1
1997950,1,19,1,1,False,1890514.0,1579477.0,1574442.0,1822346.0,1877020.0,1874205.0,1903329.0,1
1926468,1,20,1,2,False,1997950.0,1890514.0,1579477.0,1574442.0,1822346.0,1877020.0,1874205.0,1
1938016,1,21,1,3,False,1926468.0,1997950.0,1890514.0,1579477.0,1574442.0,1822346.0,1877020.0,1
1800455,1,22,1,4,False,1938016.0,1926468.0,1997950.0,1890514.0,1579477.0,1574442.0,1822346.0,1
1507469,1,23,1,5,True,1800455.0,1938016.0,1926468.0,1997950.0,1890514.0,1579477.0,1574442.0,1
1594174,1,24,1,6,True,1507469.0,1800455.0,1938016.0,1926468.0,1997950.0,1890514.0,1579477.0,1
1986942,1,25,1,0,False,1594174.0,1507469.0,1800455.0,1938016.0,1926468.0,1997950.0,1890514.0,1
1926280,1,26,1,1,False,1986942.0,1594174.0,1507469.0,1800455.0,1938016.0,1926468.0,1997950.0,1
1926651,1,27,1,2,False,1926280.0,1986942.0,1594174.0,1507469.0,1800455.0,1938016.0,1926468.0,1
1867618,1,28,1,3,False,1926651.0,1926280.0,1986942.0,1594174.0,1507469.0,1800455.0,1938016.0,1
1671284,1,29,1,4,False,1867618.0,1926651.0,1926280.0,1986942.0,1594174.0,1507469.0,1800455.0,1
1529744,1,30,1,5,True,1671284.0,1867618.0,1926651.0,1926280.0,1986942.0,1594174.0,1507469.0,1
1692789,1,31,1,6,True,1529744.0,1671284.0,1867618.0,1926651.0,1926280.0,1986942.0,1594174.0,1
2058777,2,1,1,0,False,1692789.0,1529744.0,1671284.0,1867618.0,1926651.0,1926280.0,1986942.0,1
2348396,2,2,1,1,False,2058777.0,1692789.0,1529744.0,1671284.0,1867618.0,1926651.0,1926280.0,1
2561472,2,3,1,2,False,2348396.0,2058777.0,1692789.0,1529744.0,1671284.0,1867618.0,1926651.0,1
2153809,2,4,1,3,False,2561472.0,2348396.0,2058777.0,1692789.0,1529744.0,1671284.0,1867618.0,1
1642667,2,5,1,4,False,2153809.0,2561472.0,2348396.0,2058777.0,1692789.0,1529744.0,1671284.0,1
1348296,2,6,1,5,True,1642667.0,2153809.0,2561472.0,2348396.0,2058777.0,1692789.0,1529744.0,1
1415381,2,7,1,6,True,1348296.0,1642667.0,2153809.0,2561472.0,2348396.0,2058777.0,1692789.0,1
1768686,2,8,1,0,False,1415381.0,1348296.0,1642667.0,2153809.0,2561472.0,2348396.0,2058777.0,1
1905697,2,9,1,1,False,1768686.0,1415381.0,1348296.0,1642667.0,2153809.0,2561472.0,2348396.0,1
1784818,2,10,1,2,False,1905697.0,1768686.0,1415381.0,1348296.0,1642667.0,2153809.0,2561472.0,1
1860629,2,11,1,3,False,1784818.0,1905697.0,1768686.0,1415381.0,1348296.0,1642667.0,2153809.0,1
1762526,2,12,1,4,False,1860629.0,1784818.0,1905697.0,1768686.0,1415381.0,1348296.0,1642667.0,1
1378766,2,13,1,5,True,1762526.0,1860629.0,1784818.0,1905697.0,1768686.0,1415381.0,1348296.0,1
1474661,2,14,1,6,True,1378766.0,1762526.0,1860629.0,1784818.0,1905697.0,1768686.0,1415381.0,1
1783868,2,15,1,0,False,1474661.0,1378766.0,1762526.0,1860629.0,1784818.0,1905697.0,1768686.0,1
1919162,2,16,1,1,False,1783868.0,1474661.0,1378766.0,1762526.0,1860629.0,1784818.0,1905697.0,1
2027602,2,17,1,2,False,1919162.0,1783868.0,1474661.0,1378766.0,1762526.0,1860629.0,1784818.0,1
1816523,2,18,1,3,False,2027602.0,1919162.0,1783868.0,1474661.0,1378766.0,1762526.0,1860629.0,1
1686533,2,19,1,4,False,1816523.0,2027602.0,1919162.0,1783868.0,1474661.0,1378766.0,1762526.0,1
1447892,2,20,1,5,True,1686533.0,1816523.0,2027602.0,1919162.0,1783868.0,1474661.0,1378766.0,1
1519563,2,21,1,6,True,1447892.0,1686533.0,1816523.0,2027602.0,1919162.0,1783868.0,1474661.0,1
1920310,2,22,1,0,False,1519563.0,1447892.0,1686533.0,1816523.0,2027602.0,1919162.0,1783868.0,1
1913081,2,23,1,1,False,1920310.0,1519563.0,1447892.0,1686533.0,1816523.0,2027602.0,1919162.0,1
1842922,2,24,1,2,False,1913081.0,1920310.0,1519563.0,1447892.0,1686533.0,1816523.0,2027602.0,1
1939302,2,25,1,3,False,1842922.0,1913081.0,1920310.0,1519563.0,1447892.0,1686533.0,1816523.0,1
1985281,2,26,1,4,False,1939302.0,1842922.0,1913081.0,1920310.0,1519563.0,1447892.0,1686533.0,1
1684178,2,27,1,5,True,1985281.0,1939302.0,1842922.0,1913081.0,1920310.0,1519563.0,1447892.0,1
1515413,2,28,1,6,True,1684178.0,1985281.0,1939302.0,1842922.0,1913081.0,1920310.0,1519563.0,1
1930845,2,29,1,0,False,1515413.0,1684178.0,1985281.0,1939302.0,1842922.0,1913081.0,1920310.0,1
1920594,3,1,1,1,False,1930845.0,1515413.0,1684178.0,1985281.0,1939302.0,1842922.0,1913081.0,1
1838358,3,2,1,2,False,1920594.0,1930845.0,1515413.0,1684178.0,1985281.0,1939302.0,1842922.0,1
1783571,3,3,1,3,False,1838358.0,1920594.0,1930845.0,1515413.0,1684178.0,1985281.0,1939302.0,1
1687364,3,4,1,4,False,1783571.0,1838358.0,1920594.0,1930845.0,1515413.0,1684178.0,1985281.0,1
1361438,3,5,1,5,True,1687364.0,1783571.0,1838358.0,1920594.0,1930845.0,1515413.0,1684178.0,1
1449658,3,6,1,6,True,1361438.0,1687364.0,1783571.0,1838358.0,1920594.0,1930845.0,1515413.0,1
1882304,3,7,1,0,False,1449658.0,1361438.0,1687364.0,1783571.0,1838358.0,1920594.0,1930845.0,1
2702381,3,8,1,1,False,1882304.0,1449658.0,1361438.0,1687364.0,1783571.0,1838358.0,1920594.0,1
1938561,3,9,1,2,False,2702381.0,1882304.0,1449658.0,1361438.0,1687364.0,1783571.0,1838358.0,1
1843470,3,10,1,3,False,1938561.0,2702381.0,1882304.0,1449658.0,1361438.0,1687364.0,1783571.0,1
1675759,3,11,1,4,False,1843470.0,1938561.0,2702381.0,1882304.0,1449658.0,1361438.0,1687364.0,1
1455091,3,12,1,5,True,1675759.0,1843470.0,1938561.0,2702381.0,1882304.0,1449658.0,1361438.0,1
1474465,3,13,1,6,True,1455091.0,1675759.0,1843470.0,1938561.0,2702381.0,1882304.0,1449658.0,1
1866391,3,14,1,0,False,1474465.0,1455091.0,1675759.0,1843470.0,1938561.0,2702381.0,1882304.0,1
1821530,3,15,1,1,False,1866391.0,1474465.0,1455091.0,1675759.0,1843470.0,1938561.0,2702381.0,1
1735011,3,16,1,2,False,1821530.0,1866391.0,1474465.0,1455091.0,1675759.0,1843470.0,1938561.0,1
1618501,3,17,1,3,False,1735011.0,1821530.0,1866391.0,1474465.0,1455091.0,1675759.0,1843470.0,1
1463178,3,18,1,4,False,1618501.0,1735011.0,1821530.0,1866391.0,1474465.0,1455091.0,1675759.0,1
1312683,3,19,1,5,True,1463178.0,1618501.0,1735011.0,1821530.0,1866391.0,1474465.0,1455091.0,1
1346872,3,20,1,6,True,1312683.0,1463178.0,1618501.0,1735011.0,1821530.0,1866391.0,1474465.0,1
1638793,3,21,1,0,False,1346872.0,1312683.0,1463178.0,1618501.0,1735011.0,1821530.0,1866391.0,1
1615005,3,22,1,1,False,1638793.0,1346872.0,1312683.0,1463178.0,1618501.0,1735011.0,1821530.0,1
1594954,3,23,1,2,False,1615005.0,1638793.0,1346872.0,1312683.0,1463178.0,1618501.0,1735011.0,1
1526863,3,24,1,3,False,1594954.0,1615005.0,1638793.0,1346872.0,1312683.0,1463178.0,1618501.0,1
1333211,3,25,1,4,False,1526863.0,1594954.0,1615005.0,1638793.0,1346872.0,1312683.0,1463178.0,1
1250350,3,26,1,5,True,1333211.0,1526863.0,1594954.0,1615005.0,1638793.0,1346872.0,1312683.0,1
1277257,3,27,1,6,True,1250350.0,1333211.0,1526863.0,1594954.0,1615005.0,1638793.0,1346872.0,1
1561846,3,28,1,0,False,1277257.0,1250350.0,1333211.0,1526863.0,1594954.0,1615005.0,1638793.0,1
1667855,3,29,1,1,False,1561846.0,1277257.0,1250350.0,1333211.0,1526863.0,1594954.0,1615005.0,1
1635197,3,30,1,2,False,1667855.0,1561846.0,1277257.0,1250350.0,1333211.0,1526863.0,1594954.0,1
